"market_place","Province","lattitude","longitude"
"Zenzele_ATLAS","Western_Cape","-34.0388","18.6663"
"Mapoch","Gauteng","-25.5078","28.0385"
"Denemere_Primary_School","Western_Cape","-33.9808","18.7033"
"Reading_Road","Gauteng","-26.2093","28.3051"
"Buccleuch_East","Gauteng","-26.0561","28.1008"
"Apostolic_Faith_Mission","Western_Cape","-33.9475","18.6147"
"Belhar_Mosque","Western_Cape","-33.9514","18.6554"
"La_Rochelle","Gauteng","-26.2435","28.0561"
"Montshiwastad","Central","-25.8908","25.6034"
"Tygerberg_Hospital","Western_Cape","-33.9115","18.6104"
"Marlone_Mansions","Gauteng","-26.1888","28.0541"
"Stikland_Proton_BST","Western_Cape","-33.9088","18.6522"
"Edalinceba_PS","Gauteng","-26.369","28.4044"
"Wingate_Park","Gauteng","-25.8277","28.2683"
"Apostolic_Faith_Mission","Western_Cape","-33.9475","18.6147"
"Leachville","Gauteng","-26.227","28.3272"
"Maitland_ATE","Western_Cape","-33.9208","18.4794"
"Phillipi_Cold_Storage","Western_Cape","-33.9979","18.6053"
"Vunanimfundo_AET_Centre","Gauteng","-26.1208","28.4668"
"Buccleuch_East","Gauteng","-26.0561","28.1008"
"Umlazi_Unit_7","Kwazulu_Natal","-29.9488","30.887"
"Saulsville_Makgatho_Primary_School","Gauteng","-25.7742","28.0614"
"Riverlea","Gauteng","-26.212","27.982"
"Isekelo_Primary_School","Gauteng","-26.0089","28.2288"
"Springs_Telkom","Gauteng","-26.2513","28.4396"
"Eastridge_Baptist_Church_ET","TheNorthProvince","-26.5326","29.0858"
"Riversdale_Sentech","Western_Cape","-34.0188","21.1275"
"Weltevreden_Valley","Western_Cape","-34.0258","18.5791"
"Soshanguve_South","Gauteng","-25.5088","28.1176"
"Bezvalley","Gauteng","-26.1918","28.088"
"Monticchio","Gauteng","-25.7555","28.1917"
"Dolsid","Gauteng","-25.724","28.1623"
"Nelmapius","Gauteng","-25.7408","28.3573"
"Magabheni_Water_Reservoir","Kwazulu_Natal","-30.1745","30.7712"
"Weltevreden_Valley","Western_Cape","-34.0258","18.5791"
"Outeniqua","Western_Cape","-33.9505","22.474"
"Mayfair_West","Gauteng","-26.202","27.9925"
"Calvary_Methodist_Church","Gauteng","-25.9863","28.11"
"Chamdor","Gauteng","-26.1577","27.8044"
"Irista_Primary_School","Western_Cape","-33.9367","18.6657"
"Steenberg_ATE","Western_Cape","-34.0758","18.4692"
"Houtbosch","TheNorthProvince","-24.6873","30.065"
"Atlas_Park_ATC","Western_Cape","-33.8173","18.5527"
"Belhar_Symphony_Sec","Western_Cape","-33.9447","18.6336"
"Mouille_Grange","Western_Cape","-33.9","18.4085"
"Garden_Route_Primary","Western_Cape","-34.18","22.0733"
"Phumulani_Mall","Gauteng","-25.9747","28.2287"
"Roodepoort_Cbd","Gauteng","-26.1611","27.8655"
"Woolworths","Kwazulu_Natal","-29.8582","31.0226"
"Cosmo_City_Primary_School","Gauteng","-26.0296","27.9221"
"Landros_Hotel","Gauteng","-26.1997","28.0481"
"Esselen_Towers","Gauteng","-26.191","28.05"
"Nelmapius","Gauteng","-25.7408","28.3573"
"Mayfair_Train_Station","Gauteng","-26.2047","28.0141"
"Dylcor_Flats","Western_Cape","-33.9024","18.5729"
"Marapyane","TheNorthProvince","-25.028","28.7953"
"Tembaletu_Sch_of_Disabled","Western_Cape","-33.9895","18.5704"
"Dylcor_Flats","Western_Cape","-33.9024","18.5729"
"Mikateka_Primary_School","Gauteng","-25.9896","28.2092"
"Phillipi_Cold_Storage","Western_Cape","-33.9979","18.6053"
"Maitland_ATE","Western_Cape","-33.9208","18.4794"
"Bessie_Weg","Western_Cape","-33.9434","18.5506"
"Eden_Park","Gauteng","-26.3804","28.1241"
"Viginia","Central","-28.104","26.8608"
"Mimosa_Bontheuwel","Western_Cape","-33.9531","18.5489"
"Kwanonqaba","Western_Cape","-34.1805","22.0909"
"Evangelies_Gereformeerde_Kerk","Gauteng","-26.079","28.216"
"Nqxongwane","Kwazulu_Natal","-27.8952","31.7891"
"Pelikan_Park_High","Western_Cape","-34.0471","18.5222"
"Ravel_Rd_Woodcraft","TheNorthProvince","-26.7467","27.779"
"Moremele","TheNorthProvince","-24.6601","30.8111"
"Dobsonville_Telkom","Gauteng","-26.2168","27.8707"
"SAPS_Delft","Western_Cape","-33.9745","18.6418"
"Waterfall_East","Gauteng","-26.0437","28.1456"
"Vredenburg_WT","Western_Cape","-32.9164","17.9857"
"Belhar_Mosque","Western_Cape","-33.9514","18.6554"
"Realeboha_Primary_School","Gauteng","-26.4001","28.146"
"Lonely_Signal","Central","-25.8288","25.6502"
"Namakgale","TheNorthProvince","-23.9324","31.0298"
"Cresslaw","Gauteng","-26.1197","28.2068"
"St_Martins","Gauteng","-26.2924","27.9319"
"Margate_Town","Kwazulu_Natal","-30.862","30.3596"
"Florida_Lake","Gauteng","-26.1742","27.9065"
"Modihpo_Primary","Gauteng","-26.0202","28.1929"
"Helderberg_Industria","Western_Cape","-34.119","18.8777"
"Proes_St_East","Gauteng","-25.7427","28.199"
"Welizibuko_Primary_School","Gauteng","-26.2553","27.912"
"Benoni","Gauteng","-26.1844","28.3173"
"Melomed_Hospital_Mitchells_Plain","Western_Cape","-34.0495","18.6233"
"Temong","Gauteng","-26.0022","28.2056"
"Alex_school","Gauteng","-26.1077","28.1079"
"West_Cape_Hauliers","Western_Cape","-34.0027","18.7209"
"Balfour_Park","Gauteng","-26.1392","28.0863"
"Mabopane_South","Gauteng","-25.556","28.0547"
"Lamontville","Kwazulu_Natal","-29.9442","30.9411"
"Dalview","Gauteng","-26.2439","28.3615"
"Dennilton","TheNorthProvince","-25.2566","29.1459"
"Norscot_Manor_Guest_House","Gauteng","-26.0327","28.0099"
"Barrack_Street_ATE","Western_Cape","-33.9282","18.4221"
"Sandton_City","Gauteng","-26.1084","28.0506"
"Russel_House","Western_Cape","-33.9276","18.436"
"Kwamzamo","Kwazulu_Natal","-30.3717","30.1483"
"Intercape_Bus_Terminal","Western_Cape","-33.9775","18.5885"
"Osizweni","Kwazulu_Natal","-27.79","30.13"
"Tembisa_Christian_Local_Church","Gauteng","-26.0253","28.185"
"Sunnyridge_ATC","Gauteng","-26.1732","28.1764"
"Richmond_Farm","Kwazulu_Natal","-29.751","30.9483"
"Dr_Block_School","Central","-29.1375","26.2456"
"Provincial_Library","Western_Cape","-33.9158","18.4209"
"Wisani_Primary_School","Gauteng","-26.2741","27.896"
"Ntuzuma","Kwazulu_Natal","-29.7237","30.924"
"Lotus_Park","Kwazulu_Natal","-29.9969","30.9107"
"Castle_Hill","Kwazulu_Natal","-29.7699","30.9488"
"Aston_Manor","Gauteng","-26.0922","28.2484"
"Russel_House","Western_Cape","-33.9276","18.436"
"Crystal_Park_Primary","Gauteng","-26.1248","28.3654"
"Ashwood_Gardens","Western_Cape","-33.813","18.5069"
"Durham_Square","Western_Cape","-33.9342","18.46"
"Lamontville","Kwazulu_Natal","-29.9442","30.9411"
"Durbanville_TL","Western_Cape","-33.7897","18.7054"
"Mandla_Magudulela_Stadium","TheNorthProvince","-27.0267","30.7816"
"Avendale_Cricket_Club","Western_Cape","-33.9614","18.5208"
"Belmore_Primary","Western_Cape","-34.0002","18.5256"
"Ellendale_Dect_Telkom","Gauteng","-25.6791","28.4347"
"Klapmutskop","Western_Cape","-33.8235","18.853"
"Goliath_Et","Western_Cape","-34.0134","18.642"
"North_Riding_Shopping_Centre","Gauteng","-26.0559","27.9651"
"Ottery_Station","Western_Cape","-34.0149","18.4955"
"mVeledzandivho_School","Gauteng","-26.2866","27.8589"
"Palmview","Kwazulu_Natal","-29.6657","31.0344"
"Randburg_Rooftop","Gauteng","-26.0944","28.0051"
"Brackenfell_Rugby_Club","Western_Cape","-33.8653","18.6856"
"East_Gate_Lane","Gauteng","-26.183","28.1168"
"L_M_Kganane_Secondary_School","TheNorthProvince","-24.6207","30.7922"
"Lulekani_Primary_School","TheNorthProvince","-23.8592","31.0767"
"Kilarney_Bible_School","Western_Cape","-33.8311","18.5298"
"Beaufort_West_Telkom","Western_Cape","-32.3479","22.5757"
"Bohlokong","Central","-28.2039","28.3304"
"Horizon_Park","Gauteng","-26.1346","27.8604"
"Epping_ATE","Western_Cape","-33.9257","18.5487"
"Bedford_Gardens","Gauteng","-26.1907","28.1243"
"Mabopane","Gauteng","-25.4925","28.073"
"Outeniqua_Sentech","Western_Cape","-33.9273","22.4506"
"Isipingo_Rail_Hospital","Kwazulu_Natal","-29.9861","30.9266"
"Dersley_Telkom_Ex","Gauteng","-26.197","28.423"
"Vunanimfundo_AET_Centre","Gauteng","-26.1208","28.4668"
"Florida_School_Parking","Gauteng","-26.1727","27.9257"
"Spier","Western_Cape","-33.9701","18.7688"
"Oaklands","Kwazulu_Natal","-29.8646","30.7929"
"Gustrouw","Western_Cape","-34.1341","18.8538"
"Matopie_Sentech","Western_Cape","-33.9075","19.0733"
"Tisane","TheNorthProvince","-24.7231","29.7434"
"Nandie_Primary","Gauteng","-26.2543","27.9545"
"Posmansburg","Central","-28.3224","23.0654"
"Ramaphosa","Gauteng","-26.2312","28.2077"
"Longcroft","Kwazulu_Natal","-29.7082","31.0054"
"Monticchio","Gauteng","-25.7555","28.1917"
"Braamfontein_Shopping_Centre","Gauteng","-26.1925","28.0339"
"Florida_Lake","Gauteng","-26.1742","27.9065"
"Isipingo_Beach","Kwazulu_Natal","-29.9939","30.9436"
"Roodepoort_Cbd","Gauteng","-26.1611","27.8655"
"Prolecon","Gauteng","-26.2171","28.051"
"Spes_Nova_School","Kwazulu_Natal","-29.6926","30.9898"
"Tsakani_Primary_School","Gauteng","-26.1666","27.7832"
"Katorus_Market_Society","Gauteng","-26.3773","28.1845"
"Plover_Street","Gauteng","-26.15","27.8807"
"Athlone_Park_Transtel","Kwazulu_Natal","-30.0139","30.9231"
"Pelikan_Park_High","Western_Cape","-34.0471","18.5222"
"Bessie_Weg","Western_Cape","-33.9434","18.5506"
"Meckenzie_Park","Gauteng","-26.1973","28.3338"
"Harding_Soccer_Ground","Kwazulu_Natal","-30.5723","29.8805"
"Loitekile_Primary","Gauteng","-26.2608","27.8552"
"Tollgate_Bridge","Kwazulu_Natal","-29.8528","30.9897"
"Canelands_Reservoir","Kwazulu_Natal","-29.6275","31.0608"
"Saambou_Primary_Adelaide","Western_Cape","-33.9801","18.5502"
"Tsakani_Primary_School","Gauteng","-26.1666","27.7832"
"Meadowlands_East","Gauteng","-26.2312","27.9"
"Lotusville","Kwazulu_Natal","-29.5603","30.3885"
